League,Season,Pos,Player,Salary
TRUFFLE,2021,QB,Lamar Jackson,83
TRUFFLE,2021,QB,Kyler Murray,82
TRUFFLE,2021,QB,Josh Allen,79
TRUFFLE,2021,QB,Tom Brady,77
TRUFFLE,2021,QB,Patrick Mahomes,72
TRUFFLE,2021,RB,Christian McCaffrey,104
TRUFFLE,2021,RB,Saquon Barkley,97
TRUFFLE,2021,RB,Derrick Henry,95
TRUFFLE,2021,RB,Ezekiel Elliott,95
TRUFFLE,2021,RB,Dalvin Cook,90
TRUFFLE,2021,WR,Stefon Diggs,86
TRUFFLE,2021,WR,Davante Adams,67
TRUFFLE,2021,WR,Julio Jones,67
TRUFFLE,2021,WR,Tyreek Hill,67
TRUFFLE,2021,WR,Tyler Lockett,60
TRUFFLE,2021,TE,Travis Kelce,46
TRUFFLE,2021,TE,George Kittle,37
TRUFFLE,2021,TE,Kyle Pitts,35
TRUFFLE,2021,TE,Mark Andrews,28
TRUFFLE,2021,TE,Darren Waller,24
TRUFFLE,2022,QB,Jalen Hurts,100
TRUFFLE,2022,QB,Matthew Stafford,93
TRUFFLE,2022,QB,Tom Brady,84
TRUFFLE,2022,QB,Kyler Murray,83
TRUFFLE,2022,QB,Lamar Jackson,83
TRUFFLE,2022,RB,Dalvin Cook,120
TRUFFLE,2022,RB,Ezekiel Elliott,106
TRUFFLE,2022,RB,Christian McCaffrey,105
TRUFFLE,2022,RB,Derrick Henry,105
TRUFFLE,2022,RB,Saquon Barkley,104
TRUFFLE,2022,WR,Stefon Diggs,86
TRUFFLE,2022,WR,Davante Adams,69
TRUFFLE,2022,WR,Tyreek Hill,67
TRUFFLE,2022,WR,Allen Lazard,64
TRUFFLE,2022,WR,Adam Thielen,59
TRUFFLE,2022,TE,Travis Kelce,46
TRUFFLE,2022,TE,George Kittle,37
TRUFFLE,2022,TE,Kyle Pitts,35
TRUFFLE,2022,TE,Darren Waller,30
TRUFFLE,2022,TE,Mark Andrews,28
TRUFFLE,2023,QB,Aaron Rodgers,130
TRUFFLE,2023,QB,Josh Allen,101
TRUFFLE,2023,QB,Jalen Hurts,100
TRUFFLE,2023,QB,Kyler Murray,92
TRUFFLE,2023,QB,Kirk Cousins,83
TRUFFLE,2023,RB,Christian McCaffrey,121
TRUFFLE,2023,RB,Austin Ekeler,108
TRUFFLE,2023,RB,Saquon Barkley,104
TRUFFLE,2023,RB,Nick Chubb,102
TRUFFLE,2023,RB,Joe Mixon,100
TRUFFLE,2023,WR,Stefon Diggs,87
TRUFFLE,2023,WR,Davante Adams,75
TRUFFLE,2023,WR,Cooper Kupp,69
TRUFFLE,2023,WR,DK Metcalf,69
TRUFFLE,2023,WR,Amari Cooper,69
TRUFFLE,2023,TE,Travis Kelce,47
TRUFFLE,2023,TE,George Kittle,37
TRUFFLE,2023,TE,Kyle Pitts,35
TRUFFLE,2023,TE,TJ Hockenson,35
TRUFFLE,2023,TE,Darren Waller,30
TRUFFLE,2024,QB,Aaron Rodgers,130
TRUFFLE,2024,QB,Josh Allen,101
TRUFFLE,2024,QB,Jalen Hurts,100
TRUFFLE,2024,QB,Kyler Murray,92
TRUFFLE,2024,QB,Kirk Cousins,83
TRUFFLE,2024,RB,Christian McCaffrey,121
TRUFFLE,2024,RB,Austin Ekeler,108
TRUFFLE,2024,RB,Saquon Barkley,104
TRUFFLE,2024,RB,Nick Chubb,102
TRUFFLE,2024,RB,Joe Mixon,100
TRUFFLE,2024,WR,Stefon Diggs,87
TRUFFLE,2024,WR,Davante Adams,75
TRUFFLE,2024,WR,Cooper Kupp,69
TRUFFLE,2024,WR,DK Metcalf,69
TRUFFLE,2024,WR,Amari Cooper,69
TRUFFLE,2024,TE,Travis Kelce,47
TRUFFLE,2024,TE,George Kittle,37
TRUFFLE,2024,TE,Kyle Pitts,35
TRUFFLE,2024,TE,TJ Hockenson,35
TRUFFLE,2024,TE,Darren Waller,30
